TF	Gene	Input
AT2G36010	AT1G07370	1
AT2G36010	AT2G42120	1
AT2G36010	AT2G24490	1
AT2G36010	AT2G29570	1
AT2G36010	AT1G79890	1
AT2G36010	AT1G20720	1
AT2G36010	AT5G49010	1
AT2G36010	AT3G46940	1
AT2G36010	AT5G41880	1
AT2G36010	AT5G67100	1
AT2G36010	AT2G21790	1
AT2G36010	AT5G63960	1
AT2G36010	AT5G63920	1
AT2G36010	AT3G27060	1
AT2G36010	AT1G67320	1
AT2G36010	AT1G67630	1
AT2G36010	AT3G01330	1
AT2G36010	AT1G20750	1
AT2G36010	AT1G35530	1
AT2G36010	AT3G05740	1
AT1G32640	AT1G77120	1
AT2G36010	AT3G12280	1
AT2G47190	AT5G25610	1
AT1G32640	AT5G25610	1
AT5G15840	AT1G62960	1
AT5G15840	AT3G55610	1
AT2G47190	AT1G77120	1
AT3G27010	AT4G37490	1
AT3G27010	AT2G29570	1
AT3G27010	AT3G53020	1
AT3G27010	AT1G23290	1
AT3G27010	AT3G46040	1
AT1G56010	AT2G04160	1
AT4G27410	AT1G02850	1
AT4G35900	AT1G69120	1
AT1G79840	AT4G11850	1
AT1G32640	AT1G29930	1
AT1G32640	AT1G67090	1
AT1G42990	AT2G31955	1
AT5G14750	AT2G46410	1
AT5G14750	AT1G79840	1
AT1G42990	AT1G09080	1
AT1G42990	AT5G20990	1
AT5G21120	AT3G23240	1
AT2G27050	AT3G23240	1
AT3G20770	AT3G23240	1
AT1G42990	AT5G42020	1
AT1G42990	AT5G28540	1
AT4G00270	AT3G27920	1
AT1G42990	AT1G42990	1
AT5G11260	AT3G10510	1
AT5G11260	AT2G17830	1
AT4G18960	AT2G17950	1
AT5G11260	AT1G76180	1
AT5G11260	AT1G31420	1
AT5G11260	AT2G37180	1
AT5G11260	AT1G11340	1
AT5G11260	AT1G23980	1
AT5G11260	AT1G57800	1
AT5G11260	AT1G48220	1
AT5G11260	AT1G67090	1
AT5G11260	AT1G05080	1
AT5G11260	AT5G03000	1
AT5G11260	AT5G49720	1
AT5G11260	AT2G26860	1
AT5G11260	AT1G10210	1
AT5G11260	AT1G69220	1
AT5G11260	AT5G38410	1
AT5G11260	AT1G20800	1
AT5G11260	AT1G52490	1
AT5G11260	AT2G01950	1
AT5G11260	AT1G53820	1
AT5G11260	AT5G41440	1
AT5G11260	AT2G07180	1
AT5G11260	AT4G33210	1
AT5G11260	AT1G70320	1
AT5G11260	AT5G22670	1
AT5G11260	AT1G01150	1
AT5G11260	AT3G45580	1
AT5G11260	AT1G19000	1
AT5G11260	AT5G47850	1
AT5G11260	AT1G68400	1
AT5G11260	AT4G27410	1
AT5G11260	AT2G20580	1
AT5G11260	AT5G42460	1
AT5G11260	AT1G23540	1
AT5G11260	AT4G27090	1
AT5G11260	AT3G16320	1
AT5G11260	AT3G05670	1
AT4G18960	AT1G13400	1
AT4G18960	AT1G02190	1
AT5G11260	AT3G58930	1
AT4G18960	AT4G21590	1
AT4G18960	AT4G32980	1
AT4G18960	AT3G17010	1
AT4G18960	AT1G47610	1
AT4G23810	AT3G51210	1
AT4G18960	AT3G11000	1
AT4G23810	AT3G01015	1
AT4G23810	AT5G15510	1
AT4G23810	AT1G01360	1
AT4G23810	AT2G19030	1
AT4G23810	AT4G16566	1
AT4G23810	AT2G01120	1
AT4G23810	AT3G06180	1
AT4G23810	AT1G51220	1
AT4G23810	AT5G03500	1
AT4G23810	AT2G07520	1
AT4G23810	AT5G53860	1
AT4G23810	AT3G13062	1
AT4G23810	AT1G59770	1
AT4G23810	AT5G19030	1
AT4G23810	AT3G29773	1
AT4G23810	AT2G36120	1
AT4G23810	AT4G33030	1
AT4G23810	AT4G33020	1
AT4G23810	AT5G17010	1
