HDGF	SPTSSB	CD151
SCN8A	MLL2	RPL13AP25
UBE2A	KMT2D	TRAF3IP3
USP8	CBWD7	UBXN4
YIPF6	PDZD8	POLR1A
KCTD17	SLC25A24	PDE5A
ZNF28	ADI1	GPSM2
HMGB2	AP5Z1	EPB41L2
TGDS	EIF6	MTATP6P1
GSTZ1	RBM8A	MGAT2
MRPL28	F12	CHURC1-FNTB
HMGN2P17	ARFGEF2	FZD1
SLC7A5	AK4	SRSF5
TAOK2	HECA	HADHA
NDUFV1	CHTOP	SGTA
TNPO2	YKT6	TFDP1
TRERF1	GSTP1	BCAR3
SAP30L	RPL15P3	QARS
CD1E	DCLRE1C	RANP1
RRN3P1	RPL31P11	HIST1H1C
THAP3	DCUN1D4	RNU6-48
RPL10A	PAAF1	RNU6-48P
PTPN22	CD8A	DSG2
TNRC6B	TEX2	NUDT2
TTK	ADAM22	THAP5
RRAGC	TP53INP2	ZC3HAV1L
LRRC28	CYB5D2	POLB
C9orf64	KIAA0922	FAM208B
KLHL20	SMS	PLCXD1
USP42	TIMM8BP2	SGSM2
PLGLB1	TBL1X	P2RX5
TMEM234	MACF1	ATP5G2P1
GEMIN7	CNN2	IFNAR2
ZNF581	ZSCAN4	ANKRD39
PPAPDC1B	KLHL2	LRPPRC
SULT1A2	ASTN2	ARSA
GADD45GIP1	FBXO44	C20orf27
ABHD3	NUP107	TMEM107
SPAG1	UCK1	JMJD7
PTGES2	CD1A	BTBD9
SREK1	DALRD3	PKN2
REV1	HIST1H1C	TCP1
VGLL4	MRPL15	PAM
IFT172	NF2	DHCR7
TMEM128	HIST2H4A	CIC
CDKAL1	MAP1S	ARL1
DPH3	CTSF	NDUFAF6
IRF1	SRP68	C8orf76
ALS2	USMG5	ADD1
TFB1M	CCBL2	RPS9
TM2D3	CD28	RPS14
CCNYL1	SERBP1P1	SLC22A23
KLHL2	RPS23P8	RHOBTB3
TNIP2	RSF1	SRGAP1
PDCD2L	DCAF13	ICMT
RPL18A	SPCS1	MYBL2
ATP5G2	SCNM1	PPA2
YPEL2	CHST10	H3F3AP6
KCTD12	NADSYN1	GSE1
PEX5	PTRHD1	FAM86DP
CMC2	TMEM41B	ZNF580
CRNKL1	AIMP2	LMNB2
RRAS2	TRA2A	CCNDBP1
MT-ND5	PPP1R13L	PIP4K2B
XPO4	ACSL4	TAF1C
FTL	JAK2	KDM2B
KDM5B	PLXNA1	EIF4G3
MYPOP	LRP4	KCTD18
PQLC1	SUSD4	HLTF
BFAR	PRPF38B	MRPS17
ZNF287	WDR26	APP
RPL19P13	RAB14	ZNF284
SLC9A1	RNASEL	UCK1
MBTD1	C5orf34	UBE2G1
MRPL54	CASP6	LIMA1
BBS4	KANSL2	WHSC1
PCGF3	FADS3	ZER1
DGKZ	PKIA	MSN
INO80D	NUDC	TPK1
ADAMTS17	SEPHS1P4	ANAPC16
CENPC	CDK17	ATP5E
CENPC1	MALAT1	SERF1A
RPS2P4	UPF2	RPL17P37
SNRNP27	PDS5B	DVL3
IFT27	PPIAP16	ZNF598
FAM174A	RPL7P5	EXOC4
SHMT1	TRAF3	UBAP1
MOSPD1	RC3H1	CHMP2B
KCNK6	BRD4	PLGRKT
EXOSC5	WSB2	TRAPPC11
C1orf86	DAK	STIL
KIF2A	CFL2	ALG5
TDG	NUP54	ZNF330
FAM76B	COPB2	SERF1B
VEGFA	CNOT3	HSF2
SPC24	AFF1	MTHFD2
COPS2	PVRIG	DPH3
C4orf48	LRP8	NCL
FLAD1	SCP2	KDM2A
C5orf24	SDR39U1	LMNB1
EZR	ZNF395	IDUA
FANCE	SLC25A32	ZNF782
NBPF1	WASH3P	HSCB
IQCB1	HENMT1	RANP6
BCL10	TSHR	UBE2H
ZBTB33	MTX3	CBFB
LRCH3	B4GALT6	SPPL3
LY6G5C	DTWD1	NME2
LIPA	SLC26A6	SCRN3
RIOK1	IFNAR2	CREBL2
RORA	COMMD1	ZNF292
TMEM222	UBN1	CEP192
ITCH	CYB5R3	PNISR
ATG5	KCNG3	UBE2V1
CALM1P2	COASY	DUS2L
MED29	SLC2A13	RPS26P6
CCBL1	MCEE	NLRX1
CARS2	LRRC34	BCL2
ANKRD40	DIS3	CRELD1
TLE6	AGBL5	CDPF1
BTBD7	ITGA6	COA4
CCNY	BCL7B	PIK3C3
TMEM68	PPIAP3	PIGH
EXTL3	BANF1P3	RPL31P63
RCCD1	FTSJ1	PHB2
ZNF226	PRC1	YWHAZP6
BRMS1L	PDXK	DCAF13
NDC80	MX2	RPL26P31
PSPC1	HOXD13	SLC41A1
CCNJL	TMED9	PSMA4
PPP1R9B	ETNK1	RPLP1
EP300	RPL12P11	ABHD16A
RNASEH2C	TAF12	CHCHD1
ESF1	DGUOK-AS1	EFHC1
ABTB1	NDUFA1	EPB41L4B
CASP2	PAX6	TRIM37
UTP3	C6orf106	TTC26
TNPO3	VDAC3	MT-RNR1
DCLRE1A	SLC25A12	FTH1P16
ALDH9A1	H3F3AP6	RTF1
UCP2	MXD1	TTC9
RAC1P2	CCDC86	ZNF415
VILL	HEXDC	PIK3CD
UQCR11	ATP6AP2	AXIN2
RAD17	STARD3NL	KIAA2013
SNRPEP3	ECSIT	C7orf60
IPPK	FBXO45	NSDHL
RPS2	DUSP6	GNA12
MRPL15	UBASH3A	TSPAN3
TMA16	LCLAT1	MSTO1
ANO10	DNM2	SF3B5
PPP1R10	RBM14	RPL26
CLK4	RSRC2	SCLY
RPS2P5	FH	C1QTNF3
GPBP1	TMX4	PTBP3
PTGES3L-AARSD1	CCDC115	FAM134C
ENDOV	TIMM10	CAPN12
C14orf142	C11orf57	RP2
TBC1D3C	FAM65B	ELAVL1
POLR2C	TMSB10	CELSR2
C20orf24	ADAR	LRRC42
NT5DC2	MGEA5	WHAMMP3
STAG2	SERF1A	SPATS2L
TEX30	CNKSR2	NCAPH2
C7orf60	CARF	RNFT1
PRPF31	ALS2CR8	KIDINS220
TTC14	GIN1	UBAP2L
NAPEPLD	TTC7B	UHRF1BP1L
PRDX5	SDCCAG3	VPS33B
LEF1	CTSD	RNF216
ZFAND2B	AMFR	PFKFB3
DCP1A	NMRAL1	PCYT1A
METTL1	PPM1E	EDEM2
EIF4EBP1	GLOD4	PEX5
FAM206A	NTMT1	PTPN3
MIOS	TRO	TMEM106C
PSMD6	CROCCP2	AP1S2
NUP153	ANO10	FTH1P11
SLCO3A1	ZNF592	NUP35
ODC1	ZDHHC4	RNU6-47
PITHD1	NRN1	RNU6-47P
BRD1	DDOST	SH3GLB1
RGPD5	FAM204A	ASAH1
CYB5A	HMGXB4	GIMAP5
ZNF567	ARFIP1	CMAHP
AZIN1	RPS27P25	SUV420H2
RNASEK-C17orf49	MAN1A2	MEGF8
ITGA4	SUDS3	NDOR1
C2orf49	LARP1	C17orf76-AS1
RCL1	HMG20B	FBXO25
ARPP21-AS1	TMEM251	NDUFV1
C3orf18	BCAS2P2	ARNTL
CCS	CNOT6	C2
COL9A3	GRK5	MYO1D
DUSP8P5	USP24	RPL7
FAM115A	GRIP2	FAM134A
KIAA1328	TOX4	C19orf60
PCOLCE2	SRP9P1	CCDC14
RPL29P11	FNTA	RTN4
RPL7P5	NDNL2	MORF4L2
RTKN	PUM2	METTL25
THAP2	FBRSL1	SMYD5
TSPAN14	MTND4P12	KLF3
UBE3D	TESK1	ECI2
VMAC	CD3E	GAPDHP1
ZNF3	CAMK4	CCBL1
ZNF18	TOP1	NUP133
GSTM4	RPS27	TP53BP1
RNU1-9	EIF3EP1	EMB
RNVU1-7	SLC35E2	UBR1
PSRC1	ANKRA2	EEF1DP2
MEGF8	ISG20L2	ROCK2
CAMK4	RBM10	ANKS1A
OXA1L	KIAA1191	EPHB1
SP2	POLDIP2	NSUN6
SLC38A9	SCLT1	LYPLA1
UNKL	NDUFAF1	KIAA0226L
DNAJC25	MR1	NEK2
SMNDC1	FAM8A1	UTP20
BUD31	RGS19	SHPRH
FAM204A	PHACTR2	SORD
SHMT2	CIRBP	ATXN1
PMS2P1	RNF214	ZNF382
NPLOC4	PPM1A	KIAA1524
NDE1	AAAS	EDC4
DSCC1	IMMP1L	PUS3
COQ2	NAMPTL	IL7R
ABCB8	KIFAP3	HINT2
SRR	TXNRD2	IGF1R
SPTBN1	C5orf51	AARS2
PNMA1	SF3B4	SARS
SERINC1	SNRNP70	CMTM1
STX5	ARHGEF10	SRSF11
SYPL1	POLR3B	HMGA1
RPL17P33	RABEP2	GTF2H2C
CFDP1	FEZ2	DEAF1
TACC1	APTX	ADRBK2
SAR1B	SEPHS1P6	FBXL15
FOSB	CCDC9	INTS7
SLC25A45	CPSF1	ATAD3A
SLA	BTF3L4P4	ADCK1
DHX34	GSDMD	ZFAND5
RAB5A	LIMK2	CREG1
B4GALT1	HNRNPH1	HDAC1
BLOC1S2	HESX1	CPT1A
B3GAT3	FAM134C	RAD51C
ORC2	ENO1	S100A4
SPPL3	NAPB	YPEL5
CDC6	ARMC8	LNPEP
NGRN	SEC63	METTL8
B4GALT7	RPL31P1	FAM160B2
EEF1B2P2	CHD2	SLC27A5
SDF2	EIF5	LINC00674
EIF1B	SH3TC1	MPZL2
RTN3	GTF2F1	YAE1D1
MAX	NUDCD3	EEF1E1
DLEU1	KIAA1468	DCTPP1
SLC4A2	SUPV3L1	SBK1
PEF1	SLC16A2	HNRNPA3P1
ARHGEF2	P2RX4	MTR
MREG	GSTO1	TMEM57
L2HGDH	SLC25A5	ANO10
AFF4	RPL32P26	UCHL3
ZNF165	POMP	AK2
GORASP1	SERPINB9	RPL15
SLC16A3	NLN	ERI2
CWC22	APLP2	EML6
CPSF7	UBE2V1P1	ADCY3
ABCG1	BZW1P2	OCIAD1
DTYMK	PA2G4P4	RBBP9
CHPF	SCFD1	LRMP
CDC45	BTAF1	CWC22
SLC35E1	APP	RN7SKP160
ISG20L2	RNVU1-9	LONP2
AKAP13	RNU1-6	ATP8B2
ARF6	PCBD1	MT-ND1
BCL9L	DPM2	C5orf42
MVD	FAM84B	USP11
NBPF16	HCLS1	WHAMMP2
RAD51B	LINC00467	EHBP1
PIH1D1	TSC22D3	BRD8
HOOK3	SLC12A2	HDHD1
PTPRE	CTR9	RRBP1
UCHL3	KLRG1	SURF1
THAP5	PMVK	XXYLT1
GALT	OTUD5	TRAP1
CHMP5	RCC2	SLC38A10
MRPL23	RAB24	PPP1R21
SFSWAP	PARP8	CD4
TEFM	PRKD3	PIGN
B4GALT4	NCK2	DTNBP1
MTMR9	CCDC87	CACYBPP2
ARPC4-TTLL3	COX7B	EPDR1
RBMXL1	MSL1	HMGB2
CDC42P4	SNX2	HARS
RPS2P46	MRPL47	TJP2
TRABD2A	TPCN1	MORC2
SNX19	DZIP3	MRPL20P1
TUBD1	BCL11B	DAP3
JMJD6	TRIM23	GABARAPL1
SOD2	UBE2O	PABPC1L
MAD1L1	PARVG	PPM1N
PSMA7	EMC7	SLC25A6
BACH1	NUDT2	FAM168A
MCM2	GBAS	SULT1A1
WDR55	NECAB1	C9orf156
FASTKD2	ST13P2	ITK
WDR20	ASXL2	IKZF3
CERS5	PRKCQ	FMNL1
MTHFR	FAM69A	LRP5L
LRSAM1	ADCY7	C1orf35
RPS5	SRP19	TCEB2
PPP2R5C	RAB21	CARS2
KIAA0895L	MED18	RETSAT
TAF9	ZNRF1	RNF6
RNPC3	TYK2	GAPDHP70
RIMKLA	RPS4XP17	RAB3A
CMYA5	SIKE1	GRAMD3
PTMAP3	SNX10	CCDC41
PPID	SF3A1	IDI1
ZNF681	ARHGAP25	EEF1A1P19
RPL17P25	CYFIP2	CHCHD5
CRAMP1L	TPP1	PRELID1
BTF3P4	SATB2	KANSL1
DESI2	UBA2	SREBF2
MALAT1	SDHA	ETS1
IREB2	PLEKHG1	DTX3
BIRC2	PHYKPL	FAM156B
DUS2L	AGXT2L2	CUTC
KCTD9	DDX12P	KIFC2
MTDH	MAPKAP1	C20orf196
ZNRF2	SUMO2	PCNA
ZNF263	HSPD1	EGLN1
CCT5	TNPO1	SLC6A20
SH3BP5	ABCC5	SH2B1
C20orf27	AGFG2	ARL6IP6
TTLL4	ANKMY1	GGH
SMG8	HDDC3	UBE4A
C7orf55-LUC7L2	MICB	FITM2
LUC7L2	NBEA	RBBP4
HIST1H2AM	PIN1	ARHGAP15
PRPF39	TGOLN2	KIAA1024
KIAA0947	MAP3K3	ING4
PAX9	SIT1	DMAP1
EIF3A	SLC7A5	PSMA3
CERCAM	RPL6	CDR2
RPL27	EPB41L5	QRICH2
CD55	EIF4ENIF1	MRPS21P2
FAM222B	PRKCSH	CYP4V2
PIGV	PRDX4	MSL1
MYH10	SRPRB	MAVS
ZNF331	HDHD3	TMEM101
PPP1R8	ATP5G2	ST13P4
HHAT	PITPNM2	DLD
DNAJC13	DLGAP4	HP1BP3
PRICKLE3	HEATR5B	PKP1
BAG4	RPS3A	RALGAPA2
DOCK2	LYPLA1	SNX8
DHRS13	TEX261	SIDT1
CD300A	CSE1L	BCCIP
DECR2	CCP110	IKBKE
ENY2	DCTN4	FYTTD1
LIMA1	PRMT7	SCCPDH
EFHD2	DHRS7	COMMD8
CARS	RARS	CNNM3
CHST14	ATP6V1B2	STX3
MFSD1	NABP2	CNOT8
PLCB2	MED13	ZNHIT3
LRRC59	ZIC5	TXLNG2P
CDK19	IMMP2L	NUDT8
MARK3	SLC39A10	KLC1
VPS16	C14orf80	SLC39A10
LRRC8A	TP53BP1	ADPRM
METAP1D	MSN	ANKRD27
PRKCZ	TMEM8A	NAA38
FGR	TMEM9	ASPHD2
FASTKD3	RANGRF	GNB4
IDI1	CACYBPP2	SYNCRIP
BCKDHA	TECPR2	WAPAL
LPCAT1	INTS12	DHRS13
SMPD3	DEK	NEIL2
APIP	MANEAL	TKT
GNRH1	TOMM70A	SH3BP5L
PAIP2	CCDC176	PPIAP31
RLIM	CLK3	ABHD13
PPP1CB	SDHAF2	ZNF564
PARP9	ERCC3	FTH1P20
VIM	DDX42	C11orf57
CRNDE	BUB3	SEH1L
IFI44	UBE3C	TECRP2
ARIH2	UBE2F	ELF1
LMNB1	IPCEF1	CEP76
MTHFD2	PWP1	MATR3
RPRD1A	WDR83	UNKL
RPS2P7	OLA1	CELF1
PCGF6	CDPF1	ACOT8
TOP1MT	RIPK2	SLC25A5P1
TFDP2	ARL4A	TMEM126B
PPP4C	CHID1	C19orf10
WASH2P	C20orf24	EMC1
AQP3	SH3BGR	SLC4A9
SEC22C	ATP5A1	DNM2
SNAPC2	UBTF	TRIB1
RPTOR	MORF4L1P1	ACAD8
ASXL2	GOLGA5	AAMP
PPA1	TBC1D10A	CITED2
ZNF281	GOSR1	RPUSD1
SRSF2	FBXO25	FH
FAH	NKX2-2	ATG16L1
MAP2K4	TMEM80	LINC00467
PRRC1	C17orf62	OARD1
GKAP1	TRIM2	CEP135
GRPEL2	FAM3A	PIP5K1A
TSPAN33	MRPS36	FBXO43
ADSS	TATDN1	ZNF579
ABHD17A	RBMXL1	ISG20L2
CAPRIN2	PSMC3IP	NDUFS2
CLTCL1	TMEM126B	ZNF511
CYP2D6	STAG3L4	PMVK
DDRGK1	TIMM17B	FEM1C
EPS15L1	RANGAP1	TWSG1
FAM108A1	ZNF444	RAE1
MRPL20P1	ZNF155	COX11
OPA3	PGS1	ZNF343
OPRM1	GUK1	AGPS
ORAI3	PAXIP1	GAPDHP63
PGAP3	G6PD	SNX20
PIFO	HMGB1P5	C15orf38-AP3S2
PNMA6C	NBPF11	C6orf1
RBBP9	BIRC5	SPIN4
RNF43	ALDH1B1	ISCA1
TYK2	TBCC	PIGM
LCMT2	RPIA	PIK3R1
CCDC115	ING3	RNF114
NOSIP	FAM92A1	NSRP1
RNF8	RPL39	SMAD1
MRPL34	SOBP	LRIG3
KPNB1	TNKS2	PPP1R14B
BOD1L1	RAB9B	COL11A2
ALDH3B2	PRKAR1B	DYNLL1P1
POU2AF1	PKMYT1	ESPL1
RPL10AP2	SLC25A5P8	TNFRSF14
CCM2	CBX3P1	GORAB
RNU1-14P	ELMSAN1	MFSD6
NUBP2	ZFYVE19	EVI5
RIF1	NNT	SLC2A4RG
RNF38	RFFL	SOWAHA
TSR3	S100A11	TBL2
SAR1A	IK	PRORSD1P
UBE2V2	PNKD	MAZ
GPR157	XYLB	NISCH
ZNF518A	ACN9	SEMA4D
EPHX2	ZMYND19	NCOA3
ASRGL1	ZFP36	MMD
HSBP1	SLC35B1	SNF8
CDC42	ATP8B2	SLCO3A1
TAGAP	TIPARP	CEP170P1
RNU1-6	PABPN1	GPR176
RNVU1-9	FANCE	CSTF3
FAM76A	HTRA2	CDK19
STAMBPL1	GRHPR	SLC35B2
RPS6KA5	RBM42	DNTTIP1
CHM	PDHA1	SNORD81
RNU1-2	PUSL1	AJUBA
XPO6	CFLAR	CHAF1A
NTMT1	MMS22L	ACSS1
PRKAA1	CMIP	EEF1A1P14
ABI1	DCTN6	COX17P1
HNRNPDL	SEC11A	CARS
HNRPDL	RPL26P9	SP110
NELFE	ZNF362	PHKB
SCAMP3	SRP9	GRK4
GLYR1	RHOU	AZIN1
CYP4V2	ZNF681	RPS3AP49
ARL4C	GNB2L1	SETD3
RANP6	HMMR	TXNDC9
C2CD5	FRS2	CEP55
UHMK1	NCKAP1	RPL32P26
SRSF1	TRIP13	ZNF571
OAZ1	FAM118B	HBS1L
SEPT2	CHTF18	ZNF100
CPSF6	HLA-C	GTF2H5
ROCK2	SDAD1P1	DLEU1
PPT2	CEP290	RPL26P35
ISY1	B3GNT2	TFPI
NUP35	MAPK1IP1L	GLT1D1
MGME1	TMUB2	CERCAM
YTHDC1	PLEKHJ1	MAGED4B
ZNF410	C21orf33	YARS
MAGEH1	DAP3	KLHL36
PRX	MTHFR	WASF2
TMEM69	SLC35A3	EEF1B2P2
SMEK1	LTA4H	CD48
SETP18	HSD17B11	RAB24
MAML1	PPIAP22	GGNBP2
SYNE2	CSNK2A1	C4orf27
HSPA8	NCKIPSD	ZNF823
PGAP2	DTNBP1	MT1DP
NDUFS2	GPR137B	HCFC1
DUSP10	SLC41A1	DUSP14
CD6	ST7L	ZBTB17
TYW1	DNM1	C12orf66
NUP62	UTP18	HNRNPH1
HIST1H4L	PNP	HARS2
TRIM23	WHAMMP2	PTRH1
APBB3	TMEM109	ZDHHC3
PEX12	MLLT10	ARCN1
ATP6V1A	PASK	CYB5R3
ZNF518B	FAM160B2	GLE1
AHCY	COPG1	TRIM13
STAU2	CCDC142	IDE
LAMTOR4	APCDD1	ANKRD9
PSMB2	IPO4	EIF1
DPY19L2P2	CCDC71	WDR76
PSMG2	ZNF22	RNGTT
MRPL13	POR	ASNSD1
ASB13	PACRGL	TTF2
FAM211A	ZNF200	TMEM41A
TMEM209	PIBF1	NFE2L3
MECP2	NDUFB7	MRPL28
IVD	BTF3L4P1	MTX3
CDC42BPA	ATP6V1G2	UNC119B
TMEM39A	CFD	RRM2
NAT9	RPL26P35	KPNA4
HSBP1L1	JUP	RPAP3
HUWE1	CNOT6L	ENOSF1
POLD3	HAUS8	FAM60A
EBAG9	ZXDB	AFAP1L2
RNU1-28P	TNFSF9	BAZ2A
RNU1-8	SHCBP1	CCDC53
ORMDL1	CCNH	ASF1A
ZNF714	FAM104A	DOLPP1
COQ4	HIST2H4B	NAGPA
MTMR6	RPL27A	AP2B1
TFG	SEPT8	FANCI
PPIF	BLOC1S2	C2orf47
BLOC1S4	MRPL19	BMPR2
FUK	NFKBIA	DUSP28
GPN1	IL17RA	TOMM7
NXF1	UPF1	HYI
ZNF784	LRP5L	STMN3
LEPROTL1	UBALD2	C6orf106
COPG2	GRB2	CDC25A
SCNN1D	DPP7	APLP2
ZNF672	CDCA3	SLC25A28
TFIP11	CBX3P9	PEX12
RPL17-C18orf32	SON	STAU2
AUTS2	PRAF2	XPR1
PFKFB4	S100A10	BZW2
SLC27A1	LIX1L	MTMR2
BTF3	FBXO4	TUBD1
LMBRD1	DNAJB14	PIGB
MKI67IP	MAP7D1	TTC19
KMT2C	YTHDF2	RGPD6
MLL3	SDHAF1	NUP107
YWHAG	SEC24D	NT5DC1
DHCR24	GALE	CBX7
GPR89A	APRT	FANCD2
MRPS16	VAMP4	MRPL9
EIF3K	ZNF576	DBR1
ERRFI1	MIR600HG	RPL3
MAP3K2	GIT1	SNORA12
GINM1	TMEM8B	SMG5
TTLL5	PAQR8	UBE2D4
C11orf57	MDH1	USP1
LEMD2	NHEJ1	POGZ
MAGED4B	UBE2B	AUTS2
MRPL21	SOS2	PRKAA1
MED27	DNASE1L1	SNX1
MRRF	LINC00849	YTHDC1
CHPT1	TMEM127	SCFD1
SYF2	CNTLN	AIFM1
TSHZ1	LNX1	SUCLA2
SEC14L1	RASSF8	SQRDL
RNF5P1	RPL37	CCSAP
ANKRD12	TMEM50B	CBX3P1
ZNF776	UNC119	HADH
TP53INP2	AASDH	LSM5
LTV1	DYNLRB1	VPS9D1
PI4KB	CD2BP2	RBMX2
TMEM19	RAC2	AMIGO3
ING3	ZNF738	TBP
CXADR	USP14	MT-ND2
NDUFA2	TRMT61A	C1orf123
PRIM1	WDR47	C7orf50
HEXIM1	QRSL1	NDUFA3
YBX1	ZNF571	ARMCX4
NUDT3	NFATC2IP	FKTN
NCLN	TRIM35	SWT1
DLEU7	CENPB	SNORD118
ZNF254	RNF125	POU2F1
CIAPIN1	COIL	UBE2L6
RFK	COX8A	TOX
FAIM	RAB3A	SLC30A1
NPC1	MRPS24	PPP2R5A
NECAB1	SAR1A	AKAP9
C14orf166	ERGIC1	BTN3A2
TLE1	TOP2B	SSSCA1
N4BP1	GPATCH11	KIF2C
ISCA1	RECQL5	DSE
CD8A	N4BP2	LSM1
TXNDC9	RFTN1	HSPA9
NPTN	KDM4C	IL17RA
CAB39	CMTM1	PSMA6P2
SUN2	ZNF286A	FUK
ARL15	SNAPC5	TMEM50B
SLC25A44	ADAM17	CR2
PTAR1	EGLN3	RGS6
RUNX1	RAB27A	NDUFAF1
ERGIC3	CST4	CUL3
PSMB4	C11orf58	PDPK1
MPP5	SERPINI1	ZNF174
AKIRIN1	UBE2V2	MRPS6
TAF1D	PPP2R2D	TRMT112
ARPC5L	NUDT15	WSB2
APBB1	RNF4	DAAM1
RAB2A	CHD4	AOC3
BCAS2	NCDN	FAM3A
STK16	RPLP1	TAF2
ZNF217	KIAA1143	EIF1AXP1
MAPKBP1	MAK16	TEX19
NUP210	SAMD1	TTC14
ASPHD2	PPT2	RPL32P34
ENO1-AS1	ARF4	KIF1B
PHF12	PITPNA	CNOT7
AMFR	CST2	TM7SF2
MLEC	RELT	MAGEF1
DHX15	ZNF678	TRAM2
BTN2A1	SLC10A7	LAT
NUP85	ERCC6L2	ZKSCAN7
LZTFL1	DKC1	ATP7A
SMARCC1	CASP8	EWSR1
DHRS7B	TRIM13	MIEN1
C8orf76	AP1S2	SPCS2P4
LYAR	POLR3K	MARCKS
CCDC43	ALG5	SMARCC1
ZWINT	CIAPIN1	ZNF75D
KIAA1468	DHX8	LRCH3
LINC00849	CHCHD7	CLINT1
TRAPPC4	GINS3	ID1
ATP5J2	AIFM1	ACAP1
WDR41	UROS	FTH1P2
BTF3P11	CCNK	STK16
TMOD2	ACOT13	RBM12B
CTNNBL1	KIF21A	ADRBK1
STIL	RPS15P5	NOD1
ATAD5	RDH11	USP10
ARHGEF25	DENND1B	ZFP36L2
MANF	NT5C3A	FIG4
FTSJ3	NT5C3	FBXO38
RASA2	ULBP1	DHX36
RBCK1	COPRS	C3orf62
MCEE	STIP1	RGPD4
AP4E1	GTF3C1	KIF7
ZNF700	C7orf61	MYH10
HSPA1A	ZNF770	KIF18A
RPF1	HDAC7	PHYH
SLC19A2	GAPVD1	ACAA1
CTAGE5	FANCC	TAF1B
VPS54	ITGB2	C1GALT1
THOC7	MCM4	HDAC4
USP16	ARHGAP1	TMEM205
NHLRC3	PPP6R1	ANKEF1
AHCYL2	CRYZ	DNAJC9-AS1
AZI1	PLGLB2	MAN1A2
BCORL1	SV2A	SKIL
C16orf59	CDC42SE2	FLCN
C1orf101	PARK7	OTUD3
CCDC97	TRIM11	ACBD3
CYP2J2	RPL39P5	PXMP4
IER5	ROR2	BTF3P12
LMTK3	ZNF491	AIMP2
MAF1	SLC36A4	CROCC
MARCKSL1P1	NTHL1	WDR27
MOB3C	ZDHHC23	CCDC126
PICK1	DHRS7B	BTF3
RND1	CENPO	MRPL35
SH2B2	ZNF91	CYCS
TCEA1P2	WDR37	HMBOX1
TMIGD2	RALGAPB	INTS8
ZNF568	FOXK2	ZNF569
KLHL28	ETFDH	TRNT1
PPIE	C4orf48	ESRP1
PDSS2	UTP14A	TXNL4B
RPS11	POC1A	ARHGAP23
NBPF9	TRAPPC5	CLN3
ANAPC13	USP16	ITGA10
SDR39U1	ZNF830	NRF1
PSMB3	CAMSAP1	KIAA0232
SMYD2	ANG	LARS2
CUL4B	BICD1	ATP6V0C
CALM2	MYEF2	ABHD17B
RHNO1	SNRPA1	FAM108B1
TMCO1	SCNN1D	C4orf32
HERC3	YIPF3	MRPL51
CELF2	IAH1	TADA1
PELO	PDLIM5	HERC3
SWAP70	PPP2CA	PLAGL2
ITPR3	ATRNL1	METTL4
C2orf76	EXOSC10	ANKRD40
ENC1	UQCR10	LUZP1
POC5	NIPA1	LINC00847
ZC3H8	PUF60	ZFAND2B
CEP120	LBH	RPRD1A
DLST	MPHOSPH6	NIPA2
TRIM33	HEY1	ASAP1
RHEBL1	ATG2B	ZMYM4
MARCH7	OSBPL8	CNPY3
LTBP1	NR2F6	EEF1B2P3
NDUFB8	PIK3CA	USP14
NEDD1	YES1	CXXC5
FBXO45	PAIP2	LINC00324
MAPKAPK5-AS1	BTF3L4P3	RPL13AP7
RAB12	SETP8	JTB
RNF123	ALYREF	TPM2
TAPBPL	WIZ	TCEA1P2
NSRP1	RPLP2	TFB2M
C20orf196	ZBTB8OS	DPYSL2
TSC22D2	EMP3	TNIP1
GTSE1	PRNP	MRPS18A
SRRM1	S100A6	EIF1AX
C20orf111	TTL	SNRNP48
OSER1	RNU1-8	NUP214
ALDH18A1	RNU1-28P	CNTLN
MRP63	DCUN1D5	MTOR
SLC25A46	PEX1	COQ6
TUSC5	POM121	LDHAP5
NOL11	UBE2G2	OIP5-AS1
FCHO1	NDUFA3	TMEM127
RNF219	GET4	AP1AR
ARRDC3	FAM49B	RAB27A
UBXN7	CD27	C3orf52
STXBP4	YBX1	GYG1
NAPG	GLCE	OSGEP
FNDC3A	EHMT1	ITCH
NCK1	CDC25A	KLHL17
AP3S2	THAP7-AS1	KIAA0391
LTBP3	ASNA1	SDCBP
CUTA	ACAA1	FYN
DHX29	ATP11B	ZBTB40
MYO1D	RGPD4	STK33
TARBP1	ZNF624	FBXO45
SMC1A	SNORD45B	TEP1
DNMT3A	RANBP6	ZNF808
KBTBD2	ATP6V1F	TMEM237
TMEM129	ATP6V1D	BLM
CD72	HNRNPF	NME2P1
GAR1	PRPSAP1	BTF3L4
ABHD4	CDR2	PCSK5
CELF6	CDC40	RPL3P8
ABCF3	PPP2R3B	RCOR3
UGGT1	RFNG	UTP15
BBC3	RAB10	C2orf76
SF3B1	RRN3P1	NEK7
RPL5P24	RNF115	EIF2C4
PRPF18	DMXL2	AGO4
ZDHHC13	INTS6	POC1A
TCTA	SASS6	COQ5
RAB39B	ZNF428	CHML
HERPUD1	FYTTD1	NADSYN1
LIPT1	ADARB1	C20orf112
PDHB	PLG	CDCA3
VRK1	PALD1	SRSF9
AP3M1	HMG20A	TAF6L
NDUFA6-AS1	GTSE1	PC
YTHDF2	LTB	MRPL20
ANKMY1	UBR2	PRR13
TBC1D23	TRMT6	CCNI2
GPR17	MORC3	TBC1D10C
TRIM66	NACA	ZWINT
ZNF814	CFL1	PIK3CB
C2orf68	PARP11	TRAFD1
