HDGF	SPTSSB	CD151
YY1AP1	DUSP2	PNRC2
PCBP3	ALMS1-IT1	FXYD2
TMEM11	CLIP1	TGIF1
SF3A2	ATP2B4	CCNB2
NCOR2	TUSC5	FN1
MRPS15	IL27RA	SERPINE1
MYO7B	NQO2	ACTR3
SLIT1	MSANTD3-TMEFF1	TRA2A
GSK3A	SMARCAL1	PTCH1
RPS9	IRF1	SYNJ2
GPX1	FAM227B	RAB7A
CLIC1	SRSF6	LBR
RAC2	CLCN5	KLHL7
LRRC45	TMX3	CRK
PIF1	RNU6-47	TMEM189
AP1B1	RNU6-47P	NOTCH1
NPW	GLRX2	SLC8A1-AS1
SKI	SUV420H1	MED29
TMEM185B	TNFAIP8	C17orf89
PPDPF	SNX16	POLR1B
ARFRP1	GHITM	PRDX2
FAHD2A	FCGRT	COPB1
CHAF1A	AP3B1	DCP1A
AURKB	RC3H2	KLF6
TAX1BP3	ZNF607	VBP1
EHMT2	LRMP	SLC3A2
PPP2R1A	LINC00847	SENP6
NUMA1	TMTC3	LRCH1
CD3E	POMT1	MIR155HG
BYSL	PHLDB2	IDH1-AS1
FAM195B	DDX19B	GIMAP1
GRAMD4	DNTT	TBCA
SLC39A3	TCF7	NUP153
USF2	SPRY4	PHF8
PTMS	MT-RNR2	TNFRSF10B
G6PD	SAR1B	PLEKHA5
ZNF692	C1orf101	BTBD3
RNASEH2A	IL1RAP	KLF13
CARHSP1	HEXIM1	DCTN6
PFDN6	MFAP1	YWHAE
CPXM1	UHRF2	LTV1
ISOC2	NAF1	CCDC77
MOV10	RPL23AP79	PRRT4
RPL3	NT5DC2	S100A6
EML3	TBC1D8B	NME4
GPSM3	PPM1L	COL15A1
PIEZO1	MTPAP	HMGCR
GMDS	TGIF1	GNPTAB
C19orf47	SLC30A4	CCT6P3
MT-ND6	LMO4	NUS1
TADA3	SUMO3	UGCG
TAPBP	SLC30A1	VWA8
TRAC	KIAA0513	DCTN2
TPI1P1	THADA	KLF12
RPL11	MFSD6	PPP1R16B
GNA11	GRIP1	LRRC40
CALM3	RNF138	RPS27A
AP2B1	SLC30A7	TRAF3IP2
ACTR1A	CHM	EAF2
PFKL	FNDC3A	UBE2B
CDC34	SMARCE1	KIF5B
BRMS1	HELQ	HPS1
CD7	SCD	DNAJB6
REXO1	PGRMC1	TPM3
TPGS1	RCBTB2	STX11
MTND6P4	EIF4E3	GSTK1
ACADM	PAWR	FCGRT
SH2B1	FGD2	DDX28
UBALD2	ACOT7	LINC00426
LONP1	RHPN1	ZBTB43
MRI1	CAB39L	ZNF222
RAC3	HBEGF	SLC30A7
TELO2	GEMIN6	TPD52
INO80E	C15orf40	NET1
TXLNA	EIF1	MFAP1
APRT	GPR65	SFPQ
PPP1R18	FAM229A	AAED1
RTEL1-TNFRSF6B	BAZ2B	SQLE
LRRC61	SACM1L	SRSF10
CPNE1	SLC29A1	BTBD1
PTPN7	STXBP3	PSAT1P1
STUB1	STAMBPL1	IFT81
